,ENTIDAD,estado,MUN,NOM_MUN,LOC,nombre,longitud,latitud,pob_total,pob_masculina,pob_femenina
128493,21,Puebla,74,Huejotzingo,1,Huejotzingo," 98°24'29.272"" W","19°09'32.379"" N",29613,14210.0,15403.0
79512,13,Hidalgo,81,Zacualtipán de Ángeles,1,Zacualtipán," 98°39'13.057"" W","20°38'42.653"" N",29472,13953.0,15519.0
85912,14,Jalisco,70,El Salto,14,Las Pintitas,"103°18'08.000"" W","20°33'52.000"" N",29445,14880.0,14565.0
130338,21,Puebla,132,San Martín Texmelucan,15,Santa María Moyotzingo," 98°24'18.390"" W","19°14'39.809"" N",29426,14272.0,15154.0
79237,13,Hidalgo,76,Tula de Allende,1,Tula de Allende," 99°20'35.480"" W","20°03'18.791"" N",29390,13869.0,15521.0
110114,19,Nuevo León,9,Cadereyta Jiménez,572,Valle del Roble,"100°04'25.462"" W","25°36'23.566"" N",29183,14801.0,14382.0
116119,20,Oaxaca,59,Miahuatlán de Porfirio Díaz,1,Miahuatlán de Porfirio Díaz," 96°35'47.487"" W","16°19'42.519"" N",29130,13699.0,15431.0
131232,21,Puebla,164,Tepeaca,1,Tepeaca," 97°54'19.564"" W","18°57'58.078"" N",29123,13876.0,15247.0
171092,30,Veracruz de Ignacio de la Llave,45,Cosamaloapan de Carpio,1,Cosamaloapan," 95°47'46.891"" W","18°21'53.186"" N",29081,13483.0,15598.0
159686,27,Tabasco,16,Teapa,1,Teapa," 92°57'10.780"" W","17°32'53.824"" N",29068,13915.0,15153.0
31830,7,Chiapas,74,Reforma,1,Reforma," 93°08'49.589"" W","17°51'56.923"" N",29018,13954.0,15064.0
58948,11,Guanajuato,1,Abasolo,1,Abasolo,"101°31'42.098"" W","20°27'03.240"" N",29002,14206.0,14796.0
109309,19,Nuevo León,4,Allende,1,Ciudad de Allende,"100°00'29.966"" W","25°17'12.840"" N",28843,14525.0,14318.0
75257,13,Hidalgo,8,Apan,1,Apan," 98°27'07.000"" W","19°42'36.000"" N",28792,13504.0,15288.0
88337,14,Jalisco,97,Tlajomulco de Zúñiga,32,San Sebastián el Grande,"103°25'51.077"" W","20°31'54.783"" N",28770,14208.0,14562.0
80589,14,Jalisco,13,Atotonilco el Alto,1,Atotonilco el Alto,"102°30'15.000"" W","20°33'02.000"" N",28678,13999.0,14679.0
167732,29,Tlaxcala,41,Papalotla de Xicohténcatl,1,Papalotla," 98°12'16.511"" W","19°10'11.469"" N",28657,13804.0,14853.0
170144,30,Veracruz de Ignacio de la Llave,32,Catemaco,1,Catemaco," 95°06'44.421"" W","18°25'28.613"" N",28655,13412.0,15243.0
122461,20,Oaxaca,399,Santa María Atzompa,1,Santa María Atzompa," 96°46'45.340"" W","17°06'10.316"" N",28586,13591.0,14995.0
189877,31,Yucatán,79,Tekax,1,Tekax de Álvaro Obregón," 89°17'18.197"" W","20°12'12.473"" N",28461,13887.0,14574.0
188950,31,Yucatán,38,Hunucmá,1,Hunucmá," 89°52'37.386"" W","21°00'58.155"" N",28412,14026.0,14386.0
88501,14,Jalisco,97,Tlajomulco de Zúñiga,833,Villas de la Hacienda [Fraccionamiento],"103°22'59.120"" W","20°31'52.479"" N",28276,14050.0,14226.0
59947,11,Guanajuato,4,Apaseo el Alto,1,Apaseo el Alto,"100°37'17.855"" W","20°27'25.817"" N",28260,13532.0,14728.0
145582,25,Sinaloa,6,Culiacán,312,Costa Rica,"107°23'22.460"" W","24°35'25.458"" N",28239,14126.0,14113.0
164941,28,Tamaulipas,35,San Fernando,1,San Fernando," 98°09'34.635"" W","24°50'55.241"" N",28215,13868.0,14347.0
86833,14,Jalisco,82,Sayula,1,Sayula,"103°35'50.000"" W","19°53'01.000"" N",28145,13475.0,14670.0
67588,11,Guanajuato,44,Villagrán,1,Villagrán,"100°59'47.410"" W","20°30'40.938"" N",28109,13690.0,14419.0
187602,30,Veracruz de Ignacio de la Llave,206,Nanchital de Lázaro Cárdenas del Río,1,Nanchital de Lázaro Cárdenas del Río," 94°24'40.233"" W","18°04'19.709"" N",28076,13303.0,14773.0
52597,9,Ciudad de México,11,Tláhuac,21,San Juan Ixtayopan," 98°59'44.148"" W","19°14'27.226"" N",28027,13773.0,14254.0
2085,2,Baja California,1,Ensenada,139,Rodolfo Sánchez Taboada (Maneadero),"116°34'17.366"" W","31°43'24.783"" N",27969,14048.0,13921.0
74367,12,Guerrero,75,Eduardo Neri,1,Zumpango del Río," 99°31'33.372"" W","17°39'11.510"" N",27944,13525.0,14419.0
85905,14,Jalisco,70,El Salto,1,El Salto,"103°10'54.000"" W","20°31'10.000"" N",27876,13894.0,13982.0
82246,14,Jalisco,35,Encarnación de Díaz,1,Encarnación de Díaz,"102°13'59.000"" W","21°31'28.000"" N",27833,13308.0,14525.0
26984,7,Chiapas,57,Motozintla,1,Motozintla de Mendoza," 92°14'51.880"" W","15°21'47.402"" N",27815,13256.0,14559.0
52340,9,Ciudad de México,9,Milpa Alta,11,San Antonio Tecómitl," 98°59'37.384"" W","19°13'03.134"" N",27768,13478.0,14290.0
77299,13,Hidalgo,41,Mixquiahuala de Juárez,1,Mixquiahuala de Juárez," 99°12'49.673"" W","20°13'45.768"" N",27713,13152.0,14561.0
